image_path,bbox,landmark,x_norm,y_norm,visibility,class
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",LEFT_SHOULDER,-0.32478773517445425,-0.504536755925366,0.999996542930603,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",RIGHT_SHOULDER,-0.28887896853372946,0.49542634402406294,0.9999910593032837,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",LEFT_HIP,0.30339979542775397,-0.2849475933926793,0.9999686479568481,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",RIGHT_HIP,0.31026690828042974,0.2940580052939823,0.9999796152114868,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",LEFT_ELBOW,-0.05301766050081524,-0.6941342897054021,0.9980813264846802,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",RIGHT_ELBOW,0.04871400580727038,0.6199803711791785,0.9857702255249023,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",LEFT_WRIST,0.13794498528115828,-0.5418271056714107,0.9989075660705566,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",RIGHT_WRIST,0.24911906222585825,0.7421420765701116,0.9977293610572815,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",LEFT_KNEE,0.13021309057682284,-0.7429588802176605,0.9974672794342041,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",RIGHT_KNEE,0.45803860276375946,0.22377225201107498,0.9974545836448669,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",LEFT_ANKLE,0.3947219853263615,0.6942165799902229,0.9757415056228638,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",RIGHT_ANKLE,1.0789864148003343,0.12219185892573951,0.9897776246070862,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",LEFT_EYE,-0.6472775231147017,-0.04672781905164428,0.9999960660934448,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_100.jpg,"[234, 487, 1147, 907]",RIGHT_EYE,-0.6362262281460864,0.18144105969296032,0.9999985694885254,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_101.jpg,"[688, 497, 1049, 1069]",LEFT_SHOULDER,-0.4420621676903521,0.3863970589601579,0.9999805688858032,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_101.jpg,"[688, 497, 1049, 1069]",RIGHT_SHOULDER,0.4190776290191789,0.3378977066684792,0.9999604225158691,sitting
D:\HPE_PP\HPE_PP\project_root\data\dataset\sitting\aug_101.jpg,"[688, 497, 1049, 1069]",LEFT_HIP,-0.24728598632668833,-0.3419525894517328,0.9989249110221863,sitting
