image_path,bbox,landmark,x_norm,y_norm,visibility,class
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_100.jpg,"[225, 36, 424, 816]",LEFT_SHOULDER,0.45696681365677067,-0.2677427124184058,0.9997950196266174,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_100.jpg,"[225, 36, 424, 816]",RIGHT_SHOULDER,-0.6091622680516248,-0.29325098651453435,0.9997804760932922,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_100.jpg,"[225, 36, 424, 816]",LEFT_HIP,0.3668781320082789,0.27417364840972824,0.999976634979248,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_100.jpg,"[225, 36, 424, 816]",RIGHT_HIP,-0.21468267761342474,0.28682005052321197,0.9999756813049316,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_100.jpg,"[225, 36, 424, 816]",RIGHT_ELBOW,-0.15284514326038307,-0.049942110601440104,0.84953373670578,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_100.jpg,"[225, 36, 424, 816]",RIGHT_WRIST,0.5467785676172143,-0.08565277840532462,0.7036523818969727,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_100.jpg,"[225, 36, 424, 816]",LEFT_KNEE,0.34078032647007656,0.68232638796324,0.5576260089874268,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_100.jpg,"[225, 36, 424, 816]",RIGHT_KNEE,-0.13867382961681668,0.6936255804093472,0.8821544647216797,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_100.jpg,"[225, 36, 424, 816]",LEFT_ANKLE,0.12159731950067727,1.0427641137091168,0.7021278142929077,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_100.jpg,"[225, 36, 424, 816]",RIGHT_ANKLE,-0.2672768881591514,1.0642715233729574,0.8946221470832825,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_100.jpg,"[225, 36, 424, 816]",LEFT_EYE,0.23849201334733264,-0.5136604077234794,0.9987952709197998,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_100.jpg,"[225, 36, 424, 816]",RIGHT_EYE,-0.02650873049466079,-0.5186179108821402,0.9994532465934753,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_101.jpg,"[48, 195, 416, 449]",LEFT_SHOULDER,-0.4407446338245451,-0.3392966609504935,0.9999080896377563,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_101.jpg,"[48, 195, 416, 449]",RIGHT_SHOULDER,-0.3690587644317165,0.3946779617891777,0.9998482465744019,standing
D:\HPE_PP\HPE_PP\project_root\data\dataset\standing\aug_101.jpg,"[48, 195, 416, 449]",LEFT_HIP,0.40322532677076467,-0.24358177324401706,0.9990905523300171,standing
